atr_percentile,be_armed,close_mode,direction,dxy_trend,ees_buy_band,ees_buy_score,ees_sell_band,ees_sell_score,entry_price,exit_price,geo,grade,kill_zone_active,killswitch_daily_pnl_at_decision,killswitch_pnl_recalibrated,miners_available,momentum_alignment,momentum_consensus,mtfa,of,r_multiple,real_pnl_mt5,reason,risk_usd,row_kind,score,session,sl,smc,strategy,symbol,ticket,tp,trailing_active,ts_broker,ts_utc
,,,BUY,,SAIN,24.9,SAIN,19.5,,,37.36,C,,-37.14,False,,,,50.0,95.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,60.34,LONDON,,50.0,ORDER_FLOW_EXECUTION_AGENT,BTCUSD#,,,,2026-07-08 13:25:20.784746+00:00,2026-07-08 10:25:20.784746+00:00
,,,BUY,,,,,,,,35.19,C,,-37.14,False,,,,50.0,95.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,59.8,LONDON,,50.0,ORDER_FLOW_EXECUTION_AGENT,BTCUSD#,,,,2026-07-08 13:27:30.102628+00:00,2026-07-08 10:27:30.102628+00:00
,,,BUY,,SAIN,36.3,SAIN,17.6,,,35.48,C,,-37.14,False,,,,50.0,95.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,59.87,LONDON,,50.0,ORDER_FLOW_EXECUTION_AGENT,BTCUSD#,,,,2026-07-08 13:28:13.462993+00:00,2026-07-08 10:28:13.462993+00:00
,,,BUY,,SAIN,36.3,SAIN,17.6,,,35.79,C,,-37.14,False,,,,50.0,100.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,61.45,LONDON,,50.0,ORDER_FLOW_EXECUTION_AGENT,BTCUSD#,,,,2026-07-08 13:28:49.305805+00:00,2026-07-08 10:28:49.305805+00:00
,,,BUY,,SAIN,36.3,SAIN,17.6,,,35.9,C,,-37.14,False,,,,50.0,95.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,59.98,LONDON,,50.0,ORDER_FLOW_EXECUTION_AGENT,BTCUSD#,,,,2026-07-08 13:29:22.767902+00:00,2026-07-08 10:29:22.767902+00:00
,,,BUY,,SAIN,36.3,SAIN,17.6,,,35.98,C,,-37.14,False,,,,50.0,95.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,59.99,LONDON,,50.0,ORDER_FLOW_EXECUTION_AGENT,BTCUSD#,,,,2026-07-08 13:30:12.644008+00:00,2026-07-08 10:30:12.644008+00:00
,,,SELL,,,,,,,,,,,,,,,,,,,,failed_gate=GOLD_ANALYSIS_ONLY,,REFUSE,67.5,LONDON,,,GOLD_LIQUIDITY_HUNTER_PRO,GOLD#,,,,2026-07-08 13:33:47.483892+00:00,2026-07-08 10:33:47.483892+00:00
,,,BUY,,,,SAIN,0.0,,,39.58,C,,-37.14,False,,,,50.0,100.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,62.39,LONDON,,50.0,ORDER_FLOW_EXECUTION_AGENT,BTCUSD#,,,,2026-07-08 13:35:48.752894+00:00,2026-07-08 10:35:48.752894+00:00
,,,BUY,,,,SAIN,0.0,,,38.9,C,,-37.14,False,,,,50.0,95.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,60.73,LONDON,,50.0,ORDER_FLOW_EXECUTION_AGENT,BTCUSD#,,,,2026-07-08 13:36:27.487366+00:00,2026-07-08 10:36:27.487366+00:00
,,,BUY,,SAIN,35.6,SAIN,5.0,,,39.24,C,,-37.14,False,,,,50.0,93.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,60.21,LONDON,,50.0,ORDER_FLOW_EXECUTION_AGENT,BTCUSD#,,,,2026-07-08 13:41:10.847689+00:00,2026-07-08 10:41:10.847689+00:00
